area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_log
4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.29301579913755
3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,15.291417077773852
4500,3,2,3,yes,no,no,yes,no,1,no,furnished,15.283384906076588
1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,15.283384906076588
4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,15.283384906076588
3500,4,1,2,yes,no,no,no,no,2,no,furnished,15.283384906076588
6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,15.283384906076588
4032,2,1,1,yes,no,yes,no,no,0,no,furnished,15.278534451942837
4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,15.275287695843968
10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,15.275287695843968
3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,15.268762387209046
6360,2,1,1,yes,no,no,no,no,0,no,furnished,15.267124385204808
6360,2,1,2,yes,no,no,no,no,0,no,unfurnished,15.267124385204808
4500,2,1,1,yes,no,no,no,yes,2,no,furnished,15.267124385204808
2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,15.267124385204808
4360,4,1,2,yes,no,no,no,no,0,no,furnished,15.267124385204808
7770,2,1,1,yes,no,no,no,no,1,no,furnished,15.267124385204808
6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,15.258893886068291
2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,15.258893886068291
5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,15.250595083253597
5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,15.250595083253597
5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,15.250595083253597
2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,15.250595083253597
2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
4410,2,1,1,no,no,no,no,no,1,no,unfurnished,15.250595083253597
4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
2325,3,1,2,no,no,no,no,no,0,no,semi-furnished,15.250595083253597
4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,15.250595083253597
3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,15.250595083253597
5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,15.250595083253597
7000,3,1,1,yes,no,no,no,no,3,no,furnished,15.250595083253597
4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,15.250595083253597
3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,15.250595083253597
2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,15.250595083253597
4500,3,1,1,yes,no,yes,no,no,0,no,furnished,15.250595083253597
8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,15.2489270261529
3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,15.2489270261529
4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished,15.24222683358308
4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished,15.24222683358308
4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,15.24222683358308
4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.233787964937216
5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,15.233787964937216
6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,15.232091611689038
3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,15.226131611075223
3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished,15.225277275269306
4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,15.225277275269306
5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished,15.225277275269306
5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,15.216693531577915
4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,15.216693531577915
4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished,15.216693531577915
3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished,15.216693531577915
4320,3,1,2,yes,no,no,no,no,2,yes,furnished,15.216693531577915
3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished,15.208035468834801
3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,15.208035468834801
5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished,15.208035468834801
4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished,15.203678163465845
3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.203678163465845
4100,4,1,1,no,no,yes,no,no,0,no,unfurnished,15.199301788866046
6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished,15.199301788866046
4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished,15.199301788866046
3960,3,1,2,yes,no,no,no,no,0,no,furnished,15.199301788866046
4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,15.199301788866046
7260,3,2,1,yes,yes,yes,no,no,3,no,furnished,15.181602211766645
5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished,15.181602211766645
3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,15.181602211766645
3290,2,1,1,yes,no,no,yes,no,1,no,furnished,15.181602211766645
3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,15.181602211766645
8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,15.181602211766645
2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished,15.181602211766645
3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,15.172633541783885
3180,4,2,2,yes,no,no,no,no,0,no,furnished,15.172633541783885
5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished,15.163583706263967
3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished,15.163583706263967
7152,3,1,2,yes,no,no,no,yes,0,no,furnished,15.163583706263967
4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.163583706263967
3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.163583706263967
2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished,15.163583706263967
2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished,15.163583706263967
3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,15.159940714985465
3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished,15.154451222700695
4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,15.14523456759577
3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,15.14523456759577
3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.14523456759577
5830,2,1,1,yes,no,no,no,no,2,no,unfurnished,15.14523456759577
2856,3,1,3,yes,no,no,no,no,0,yes,furnished,15.14523456759577
8400,2,1,1,yes,no,no,no,no,1,no,furnished,15.14523456759577
8250,3,1,1,yes,no,no,no,no,2,no,furnished,15.143380998946448
2520,5,2,1,no,no,yes,no,yes,1,no,furnished,15.143380998946448
6930,4,1,2,no,no,no,no,no,1,no,furnished,15.143380998946448
3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,15.135932174933457
3600,3,1,1,yes,no,no,no,no,1,no,unfurnished,15.126542434583618
4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.126542434583618
6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished,15.126542434583618
4050,2,1,1,yes,no,no,no,no,0,no,furnished,15.126542434583618
3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished,15.126542434583618
3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished,15.12465385989575
5450,2,1,1,yes,no,no,no,no,0,no,furnished,15.12465385989575
3630,2,1,1,yes,no,yes,no,no,0,no,furnished,15.117063690629074
3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished,15.117063690629074
5640,2,1,1,no,no,no,no,no,0,no,semi-furnished,15.117063690629074
3600,2,1,1,yes,no,no,no,no,0,no,furnished,15.117063690629074
4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished,15.107494239612924
3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,15.107494239612924
3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished,15.107494239612924
3000,2,1,2,yes,no,no,no,yes,0,no,furnished,15.107494239612924
3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished,15.107494239612924
5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished,15.107494239612924
4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished,15.107494239612924
2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished,15.107494239612924
2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished,15.107494239612924
3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished,15.10556931120334
4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,15.097832328701186
4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,15.097832328701186
3150,3,1,2,yes,no,yes,no,no,0,no,furnished,15.088076153755821
4500,4,2,2,yes,no,yes,no,no,2,no,furnished,15.088076153755821
4500,2,1,1,no,no,no,no,no,0,no,furnished,15.088076153755821
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,15.088076153755821
3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,15.07822385731281
4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.068273526459642
3650,3,1,2,yes,no,no,no,no,0,no,unfurnished,15.068273526459642
4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,15.068273526459642
2135,3,2,2,no,no,no,no,no,0,no,unfurnished,15.068273526459642
3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,15.068273526459642
3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,15.068273526459642
7424,3,1,1,no,no,no,no,no,0,no,unfurnished,15.068273526459642
3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,15.068273526459642
3600,6,1,2,yes,no,no,no,no,1,no,unfurnished,15.068273526459642
3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,15.068273526459642
5900,2,1,1,yes,no,no,no,no,1,no,furnished,15.068273526459642
3120,3,1,2,yes,no,no,no,no,1,no,unfurnished,15.068273526459642
7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished,15.068273526459642
3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,15.068273526459642
9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished,15.068273526459642
5880,2,1,1,yes,no,no,no,no,0,no,unfurnished,15.068273526459642
12944,3,1,1,yes,no,no,no,no,0,no,unfurnished,15.068273526459642
4900,3,1,2,no,no,no,no,no,0,no,unfurnished,15.066271523788968
3060,3,1,1,yes,no,no,no,no,0,no,unfurnished,15.05822319060614
5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,15.05822319060614
2145,3,1,3,yes,no,no,no,no,0,yes,furnished,15.05822319060614
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,15.048070819142122
3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,15.048070819142122
3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,15.048070819142122
2145,3,1,3,yes,no,no,no,no,0,yes,furnished,15.048070819142122
2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished,15.048070819142122
1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished,15.048070819142122
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,15.046027917512323
4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished,15.037814318974933
3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished,15.037814318974933
3640,2,1,1,yes,no,no,no,no,0,no,furnished,15.037814318974933
3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished,15.027451531939388
4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,15.027451531939388
4120,2,1,2,yes,no,no,no,no,0,no,unfurnished,15.027451531939388
4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,15.027451531939388
3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,15.027451531939388
3750,3,1,1,yes,no,no,no,no,0,no,unfurnished,15.027451531939388
3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished,15.027451531939388
3185,2,1,1,yes,no,yes,no,no,2,no,furnished,15.027451531939388
2700,3,1,1,no,no,no,no,no,0,no,furnished,15.025366025448365
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,15.01908328226887
4040,2,1,1,yes,no,no,no,no,1,no,unfurnished,15.016980232072092
4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,15.016980232072092
2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,15.006398122741555
3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished,15.006398122741555
6060,3,1,1,yes,yes,yes,no,no,0,no,furnished,15.006398122741555
3480,4,1,2,no,no,no,no,no,1,no,semi-furnished,15.006398122741555
3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished,15.006398122741555
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,15.006398122741555
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,15.006398122741555
5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,15.006398122741555
4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,14.995702833624806
3930,2,1,1,no,no,no,no,no,0,no,unfurnished,14.995702833624806
3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,14.989230319119189
4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.98489191752059
2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,14.98489191752059
4320,3,1,1,no,no,no,no,no,1,no,unfurnished,14.98489191752059
3120,3,1,2,no,no,no,no,no,0,no,furnished,14.98489191752059
3450,1,1,1,yes,no,no,no,no,0,no,furnished,14.962913010801817
3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,14.962913010801817
3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,14.962913010801817
4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,14.962913010801817
1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,14.962913010801817
3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,14.962913010801817
6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,14.962913010801817
9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished,14.962913010801817
3069,2,1,1,yes,no,no,no,no,1,no,unfurnished,14.962913010801817
4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,14.960688315779704
5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished,14.95622402265102
2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,14.952974902096178
3000,3,1,1,no,no,no,no,yes,0,no,unfurnished,14.951739710203691
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.951739710203691
3500,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.951739710203691
8100,2,1,1,yes,no,no,no,no,1,no,unfurnished,14.942710303484297
4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished,14.940440154949757
2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,14.940440154949757
3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished,14.940440154949757
4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,14.940440154949757
3800,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.929011459126134
3090,3,1,2,no,no,no,no,no,0,no,semi-furnished,14.917450636725059
3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished,14.917450636725059
2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,14.917450636725059
4600,2,1,1,yes,no,no,no,no,0,no,furnished,14.917450636725059
5076,3,1,1,no,no,no,no,no,0,no,unfurnished,14.917450636725059
3750,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.917450636725059
3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished,14.917450636725059
8050,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.915122346965468
4352,4,1,2,no,no,no,no,no,1,no,unfurnished,14.905754596961867
3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,14.901037607083728
5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,14.893920139314865
4960,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.893920139314865
3600,3,1,2,no,no,no,no,no,1,no,unfurnished,14.893920139314865
3660,4,1,2,no,no,no,no,no,0,no,unfurnished,14.893920139314865
3480,3,1,2,no,no,no,no,no,1,no,semi-furnished,14.893920139314865
2700,2,1,1,no,no,no,no,no,0,no,furnished,14.893920139314865
3150,3,1,2,no,no,no,no,no,0,no,unfurnished,14.893920139314865
6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished,14.893920139314865
3040,2,1,1,no,no,no,no,no,0,no,unfurnished,14.869822587735804
3630,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.869822587735804
6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished,14.869822587735804
5400,4,1,2,yes,no,no,no,no,0,no,unfurnished,14.869822587735804
5200,4,1,3,yes,no,no,no,no,0,no,unfurnished,14.863706360718368
3300,3,1,2,no,no,no,no,no,1,no,semi-furnished,14.85755249514399
4350,3,1,2,no,no,no,yes,no,1,no,unfurnished,14.85755249514399
2640,2,1,1,no,no,no,no,no,1,no,furnished,14.85755249514399
2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished,14.845129975145433
3960,3,1,1,yes,no,no,no,no,0,no,furnished,14.845129975145433
6800,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.819812167161142
4000,3,1,2,yes,no,no,no,no,1,no,unfurnished,14.819812167161142
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.806908762325234
3934,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.793836680757881
2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,14.793836680757881
3630,3,3,2,no,yes,no,no,no,0,no,unfurnished,14.793836680757881
2800,3,1,1,yes,no,no,no,no,0,no,unfurnished,14.793836680757881
2430,3,1,1,no,no,no,no,no,0,no,unfurnished,14.793836680757881
3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished,14.793836680757881
4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished,14.793836680757881
3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,14.791201633119877
4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished,14.791201633119877
2910,2,1,1,no,no,no,no,no,0,no,unfurnished,14.772559282310597
3600,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.767168433675721
4400,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.767168433675721
3600,2,2,2,yes,no,yes,no,no,1,no,furnished,14.767168433675721
2880,3,1,1,no,no,no,no,no,0,no,unfurnished,14.739769459487606
3180,3,1,1,no,no,no,no,no,0,no,unfurnished,14.739769459487606
3000,2,1,2,yes,no,no,no,no,0,no,furnished,14.739769459487606
4400,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.725783217512866
3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,14.725783217512866
3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished,14.71159858252091
3240,2,1,1,no,yes,no,no,no,1,no,unfurnished,14.71159858252091
3000,2,1,1,yes,no,no,no,no,1,no,unfurnished,14.71159858252091
3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished,14.71159858252091
4840,2,1,2,yes,no,no,no,no,0,no,unfurnished,14.71159858252091
7700,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.71159858252091
3635,2,1,1,no,no,no,no,no,0,no,unfurnished,14.694307085410848
2475,3,1,2,yes,no,no,no,no,0,no,furnished,14.682611045647658
2787,4,2,2,yes,no,no,no,no,0,no,furnished,14.682611045647658
3264,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.682611045647658
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.667795959862516
3180,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.652758082497977
1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished,14.637490610367188
3970,1,1,1,no,no,no,no,no,0,no,unfurnished,14.637490610367188
3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished,14.637490610367188
1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,14.621986423831222
5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished,14.618856530822296
3000,2,1,1,no,no,no,no,no,0,no,unfurnished,14.573977204644862
2400,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.557447902693651
3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,14.557447902693651
3360,2,1,1,yes,no,no,no,no,1,no,unfurnished,14.557447902693651
3420,5,1,2,no,no,no,no,no,0,no,unfurnished,14.4884550312067
1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.452087387035824
3649,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.452087387035824
2990,2,1,1,no,no,no,no,no,1,no,unfurnished,14.433395254023672
3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished,14.414347059052979
2400,3,1,1,no,no,no,no,no,0,no,semi-furnished,14.384878637342375
3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,14.375126345899696
2910,3,1,1,no,no,no,no,no,0,no,furnished,14.375126345899696
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,14.375126345899696
